q1_anchor_deg,q2_anchor_deg,q1_dot,q2_dot,recovered,settling_time,total_control_effort,peak_angle_error,peak_cart_displacement
2.0,2.0,0.25,-1.5,True,2.93,116.18564687809192,0.2010545041194609,0.7566886594765859
2.0,2.0,0.25,-1.25,True,2.645,59.36372369859527,0.13313475602325897,0.4862212616215537
2.0,2.0,0.25,-1.0,True,1.915,23.9518713524717,0.07525777951541161,0.22565450596473224
2.0,2.0,0.25,-0.75,True,1.33,5.869817444704262,0.03771086133290507,0.0912557019664484
2.0,2.0,0.25,-0.5,True,1.7,4.468701345543642,0.05547594480009428,0.3191386399516242
2.0,2.0,0.25,-0.25,True,2.6,19.711944442234735,0.10638736731902422,0.5795451326708023
2.0,2.0,0.25,0.0,True,2.87,52.18348134237172,0.1620556013184215,0.8283533742437917
2.0,2.0,0.25,0.25,True,3.0,103.48040978633996,0.21884691938040932,1.0576223191084768
2.0,2.0,0.25,0.5,True,3.145,178.8997750376516,0.2806867345534005,1.2704599609674994
2.0,2.0,0.25,0.75,True,3.095,322.44490226614715,0.35137561459311534,1.3518923079044485
2.0,2.0,0.25,1.0,False,nan,8751.036889368117,46.130332459615865,2.0410812512537047
2.0,2.0,0.25,1.25,False,nan,8783.370399120695,85.69959068253279,2.0384466216436548
2.0,2.0,0.25,1.5,False,nan,8848.407319096326,46.54378876063241,2.0351176251315874
2.0,2.0,0.25,1.75,False,nan,8845.335556814403,106.8633586402955,2.053802221095138
2.0,2.0,0.25,2.0,False,nan,8793.048538634637,56.21595215983872,2.0395706629653456
2.0,2.0,0.5,-2.0,True,3.015,209.99724951954062,0.28052460426947634,0.8829921146293548
2.0,2.0,0.5,-1.75,True,2.855,116.04049839057943,0.19685068457328547,0.6093736743500353
2.0,2.0,0.5,-1.5,True,2.025,60.02644769125823,0.12627875455152052,0.32558110142511226
2.0,2.0,0.5,-1.25,True,1.895,26.62468625253965,0.07008572873505835,0.132050944817574
2.0,2.0,0.5,-1.0,True,1.44,10.480641038186153,0.04596056351619934,0.24345732191199046
2.0,2.0,0.5,-0.75,True,2.35,10.958846140382652,0.07190229522193728,0.49551210510610555
2.0,2.0,0.5,-0.5,True,2.7600000000000002,28.20919793195558,0.12133638619477607,0.7517272519401403
2.0,2.0,0.5,-0.25,True,2.945,63.08035878142131,0.17600877588399627,0.9949406995879426
2.0,2.0,0.5,0.0,True,3.085,117.69668691786251,0.23208244627043226,1.2154856605912436
2.0,2.0,0.5,0.25,True,3.22,197.75156465932815,0.2921843262126104,1.4127152143685884
2.0,2.0,0.5,0.5,True,2.745,440.58874541565564,0.36371351236273547,1.2975054181518586
2.0,2.0,0.5,0.75,False,nan,8665.910699169031,958.148664490101,8.032943454893324
2.0,2.0,0.5,1.0,False,nan,8743.994204812603,32.54328967501178,2.050325424470201
2.0,2.0,0.5,1.25,False,nan,8798.645466797796,53.05294992942552,2.0310639567892936
2.0,2.0,0.5,1.5,False,nan,8796.609957578628,95.1153546630019,2.045116064200057
2.0,2.0,0.5,1.75,True,7.4350000000000005,5668.94860390816,12263.014531690424,66.4605387735262
2.0,2.0,0.5,2.0,False,nan,8844.47962314974,40.130898547434285,2.041368320995088
2.0,2.0,0.75,-2.0,True,2.755,121.03570078242791,0.1967280250765406,0.47133318154420645
2.0,2.0,0.75,-1.75,True,2.04,64.32493855273069,0.12290689409984082,0.18521395416480238
2.0,2.0,0.75,-1.5,True,1.825,32.444377266713595,0.06967730228141902,0.22369915598442436
2.0,2.0,0.75,-1.25,True,2.035,18.189894123365004,0.057572119893551515,0.4169002131786794
2.0,2.0,0.75,-1.0,True,2.6,20.559981837826015,0.0882991333890812,0.6704662933472613
2.0,2.0,0.75,-0.75,True,2.86,39.90548981302972,0.13670069838799487,0.9221978072432997
2.0,2.0,0.75,-0.5,True,3.005,77.39287338670141,0.19046742173265763,1.1591501525639407
2.0,2.0,0.75,-0.25,True,3.185,135.77499891822512,0.2461277205248766,1.3711871972832774
2.0,2.0,0.75,0.0,True,3.2800000000000002,221.77772739274346,0.30473728576672554,1.5522648189984996
2.0,2.0,0.75,0.25,False,nan,8739.095566080327,52.82877680937572,2.054027241778167
2.0,2.0,0.75,0.5,False,nan,8809.811283513507,31.198934113032593,2.0370728335354062
2.0,2.0,0.75,0.75,False,nan,8786.272499198496,33.67064196048632,2.0586059576805056
2.0,2.0,0.75,1.0,False,nan,8793.199619189578,83.62612957908564,2.0399806647904057
2.0,2.0,0.75,1.25,False,nan,8866.398308093027,65.17181964480888,2.061634378119512
2.0,2.0,0.75,1.5,False,nan,8841.739412444234,115.02818139900175,2.0306579887052516
2.0,2.0,0.75,1.75,False,nan,8490.320169778422,1711.7975955632214,68.39121218469417
2.0,2.0,0.75,2.0,False,nan,8782.949090661054,83.60915137026078,2.033247482394345
2.0,2.0,1.0,-2.0,True,2.07,72.59512296237483,0.12403274112017143,0.25754043360720363
2.0,2.0,1.0,-1.75,True,1.92,41.41344765529019,0.07522847355979938,0.36223355023703946
2.0,2.0,1.0,-1.5,True,2.4,29.020278376123372,0.07538036715513975,0.5914619195699505
2.0,2.0,1.0,-1.25,True,2.745,33.31912848297708,0.10467188847163626,0.8436131533394566
2.0,2.0,1.0,-1.0,True,2.93,54.88585325620592,0.15231103254917752,1.0904150776819848
2.0,2.0,1.0,-0.75,True,3.13,95.27717577099703,0.20528754622237538,1.3204039736963828
2.0,2.0,1.0,-0.5,True,3.265,158.04695298281985,0.26055324861127255,1.5229332079179652
2.0,2.0,1.0,-0.25,True,3.33,252.17870092725408,0.3183291713183252,1.6851098378457952
2.0,2.0,1.0,0.0,False,nan,8789.558036148592,58.85751152520498,2.0437487695477405
2.0,2.0,1.0,0.25,True,5.855,4265.052263642136,152418.6941192686,2115.5539080071608
2.0,2.0,1.0,0.5,False,nan,8810.506379045877,21.435026225299612,2.0473101257436905
2.0,2.0,1.0,0.75,False,nan,8812.995447314766,66.24803185641125,2.063215251442035
2.0,2.0,1.0,1.0,True,4.8500000000000005,3393.086007027145,6264.365441168554,7.575554446304966
2.0,2.0,1.0,1.25,True,9.65,7657.1320048498865,1150.6642221561979,16.30336863319375
2.0,2.0,1.0,1.5,False,nan,8873.938634388349,57.12329036634502,2.037738353486099
2.0,2.0,1.0,1.75,False,nan,8836.987796198157,59.35246026623371,2.0306354567617344
2.0,2.0,1.0,2.0,False,nan,8866.608516044653,135.7096618439906,2.05129050085619
2.0,2.0,1.25,-2.0,True,2.19,53.64919543581935,0.08708101951616977,0.5229129415650847
2.0,2.0,1.25,-1.75,True,2.595,43.008183088041996,0.0962227079796037,0.7651004509398124
2.0,2.0,1.25,-1.5,True,2.84,49.301466233515875,0.12207220815880515,1.0146038546277854
2.0,2.0,1.25,-1.25,True,3.045,73.26373473628068,0.1681268084758616,1.2559135421532603
2.0,2.0,1.25,-1.0,True,3.225,116.93951777152465,0.22046359991173203,1.4781667364278588
2.0,2.0,1.25,-0.75,True,3.325,184.91320315145146,0.2753437692515389,1.6700992517972177
2.0,2.0,1.25,-0.5,True,3.255,318.55085019154643,0.3346544399761511,1.711029374580698
2.0,2.0,1.25,-0.25,True,9.24,7249.077305738686,2579.5589677965486,107.19823266139183
