q1_deg,q2_deg,recovered,settling_time,total_control_effort,peak_angle_error,peak_cart_displacement
-6.000000000000001,4.0,True,1.385,14.764088865192457,0.10471975511965978,0.13447008498372187
-6.000000000000001,5.0,True,1.865,25.172028967179333,0.10471975511965978,0.12193417375130025
-6.000000000000001,6.000000000000001,True,1.965,39.758775472708926,0.10471975511965978,0.19040618053645827
-6.000000000000001,7.0,True,2.015,58.75465210533193,0.12217304763960307,0.30757157547448916
-6.000000000000001,8.0,True,2.63,82.98992201586431,0.14572239223745698,0.43304056517452433
-6.000000000000001,9.0,True,2.825,113.63863135284367,0.18214384369499914,0.5634161574880866
-6.000000000000001,10.0,True,2.94,152.32621018564728,0.22194587390633236,0.6948071282067819
-6.000000000000001,11.0,True,3.0100000000000002,201.63093720322505,0.264868285137053,0.8209684326970355
-6.000000000000001,12.000000000000002,True,3.04,266.04324417370077,0.31059307583934037,0.9333049699820771
-5.0,-12.000000000000002,False,nan,8812.77747776109,34.6261308909529,2.0491421287376372
-5.0,-11.0,False,nan,8647.143965248557,27.61360032855158,2.0473923291002185
-5.0,-10.0,True,3.15,302.12129019027964,0.37301727454741707,1.3417253988815454
-5.0,-9.0,True,3.1750000000000003,236.0952210586345,0.3412460825646848,1.3133481149290338
-5.0,-8.0,True,3.125,189.69500336184834,0.31117389501646014,1.234498177717602
-5.0,-7.0,True,3.055,150.98410320113192,0.2820445773651104,1.1482748752555618
-5.0,-6.000000000000001,True,3.0100000000000002,118.25164715350427,0.2539335160207349,1.0574306265220186
-5.0,-5.0,True,2.965,90.32864134696233,0.2269315998182127,0.9643220606616999
-5.0,-4.0,True,2.9050000000000002,66.45227302000288,0.20079016615169698,0.8693996333037464
-5.0,-3.0000000000000004,True,2.83,46.44754508447672,0.17463313109717946,0.7694161960472486
-5.0,-2.0,True,2.72,30.30749268818092,0.14855630893918406,0.6643893518308442
-5.0,-1.0,True,2.555,18.02919124310918,0.12320420549823803,0.5552034376874342
-5.0,0.0,True,2.24,9.631266215689832,0.10030729064624985,0.4429169657242265
